Cod_pat,Time,Ax,Ay,Az,Mx,My,Mz,Ch,Label
11111,13/5/2018 12:46:39,-1.37,1.14,9.69,43.18,1.18,-57.55,1.57,0
11111,13/5/2018 12:46:40,-1.33,1.14,9.57,43.36,1.18,-57.76,1.56,0
11111,13/5/2018 12:46:42,-1.33,1.1,9.65,43.36,1,-57.45,1.32,0
11111,13/5/2018 12:46:44,-1.29,1.14,9.69,43.45,1,-57.24,1.32,0
11111,13/5/2018 12:46:45,-1.41,1.1,9.73,43.27,1.45,-57.65,1.93,0
11111,13/5/2018 12:46:47,-1.33,1.14,9.69,43.09,1.27,-57.24,1.69,0
11111,13/5/2018 12:46:49,-1.29,1.14,9.69,43.18,1.18,-57.55,1.57,0
11111,13/5/2018 12:46:51,-1.26,1.18,9.57,43.36,1.27,-57.45,1.68,0
11111,13/5/2018 12:46:52,-1.37,1.1,9.65,43.18,1.09,-57.55,1.45,0
11111,13/5/2018 12:46:54,-1.33,1.1,9.69,43.18,1.45,-57.35,1.93,0
11111,13/5/2018 12:46:55,-1.29,1.14,9.61,43.09,1.27,-57.76,1.69,0
11111,13/5/2018 12:46:57,-1.37,1.14,9.61,43.27,1.36,-57.65,1.8,0
11111,13/5/2018 12:46:59,-1.33,1.1,9.65,43.18,0.91,-57.35,1.21,0
11111,13/5/2018 12:47:00,-1.37,1.14,9.69,43.18,1.45,-57.35,1.93,0
11111,13/5/2018 12:47:02,-1.41,1.18,9.65,43.18,1.36,-57.14,1.81,0
11111,13/5/2018 12:47:05,-1.29,1.02,9.73,42.91,1.09,-57.86,1.46,0
11111,13/5/2018 12:47:07,-1.41,1.14,9.65,43.36,1.18,-57.65,1.56,0
11111,13/5/2018 12:47:09,-1.41,1.1,9.73,43.27,1.27,-57.45,1.68,0
11111,13/5/2018 12:47:10,-1.37,1.1,9.57,43.27,1.36,-57.35,1.8,0
11111,13/5/2018 12:47:12,-1.41,1.18,9.57,43.45,1.27,-57.55,1.68,0
